Empresa,Circuito,Abonados,DPI,FPI
ICE,SANTARITA-ISLACHIRA,1059,98.57,14.09
ICE,SANTARITA-ISLAVENADO,671,69.49,22.61
ICE,LEESVILLE-PINERAS,13626,48.77,17.65
ICE,CAHUITA-BRIBRI,14999,41.94,24.44
ICE,PALMAR-PALMARSUR,11706,40.92,29.76
ICE,LIBERIA-URBANO,11293,33.1,18.01
ICE,COBANO-LAESPERANZA,2036,31.01,32.66
ICE,PALMAR-PUERTOJIMENEZ,4694,30.97,27.39
ICE,CAHUITA-COSTANERA,12225,30.82,19.04
COOPESANTO,SAN GERARDO-PROVIDENCIA,661,30.61,10.43
ICE,ANGOSTURA-TRES EQUIS,5832,27.84,16.46
ICE,TRAPICHE-ZENT,27621,26.72,19.19
COOPELESCA,SAN FRANCISCO,1316,26.45,14.36
ICE,PAILAS-CURUBANDE,7066,25.66,14.97
ICE,COBANO-POCHOTE,6555,24.56,24.93
ICE,CA AS-LA IRMA,6292,23.77,9.85
ICE,SAN ISIDRO-QUEPOS,22794,23.62,14.41
ICE,PAILAS HOSPITAL ,12,23.45,11.01
ICE,ANGOSTURA-PERALTA,5290,23.12,10.95
ICE,CACHI-PEJIBAYE,6380,23.01,15.69
ICE,SANTARITA-COBANO,3501,22.06,10.6
ICE,COBANO-URBANO,6825,21.04,19.17
ICE,SANTARITA-NOSARA,13672,20.96,12.71
ICE,GARITA-ATENAS,966,20.87,13.02
ICE,CACHI-JUAN VI AS,4998,20.33,6.1
COOPESANTO,BANANERAS,4853,19.8,7.23
ICE,TORO-LAGUNA,122,19.1,9.41
COOPESANTO,FORTUNA,10578,18.41,10.59
ICE,BARRANCA-FERTICA,406,18.3,9.73
CNFL,LINDORA-GUACIMA,10358,18.17,16.06
CNFL,ELECTRIONA-MONTANA,813,18.16,7.14
ICE,RIO CLARO-CHACARITA,3088,18.14,22.06
COOPESANTO,MORA,11781,18.14,20.51
ICE,MOIN-PUERTO VIEJO,7439,18.06,15.36
ICE,LEESVILLE-GUACIMO,24937,17.94,13.5
ICE,PARRITA-QUEPOS,13793,17.8,9.55
ICE,ARENAL-SANGREGADO,8016,17.09,9.02
ICE,MIRAVALLES-DEL ORO,12974,17.07,9.78
ICE,MOIN-SIXAOLA,6870,16.89,15.09
ICE,SANTARITA-RESPALDONOSARA,11066,16.45,9.76
